Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Achim A., Cloutier A.","","Caractéristiques anatomiques du bois des gymnospermes et des angiospermes",2010,"La Dendroécologie: Principes, méthodes et applications",,,,"7","32",,1,,2-s2.0-85054760792
"Alonso N., Buxó R., Rovira N., Janin T., Py M.","","Archéobotanique des semences et des fruits de Lattara: Bilan des recherches",2008,"Archéobotanique des semences et des fruits de Lattara: bilan des recherches. Gallia","65",,,"","",,2,,2-s2.0-85054733797
"Amouretti M.-C.","","La viticulture antique: Contraintes et choix techniques",1988,"REA","90","1-2",,"5","17",,8,,2-s2.0-3242751500
"Aradhya M.K., Dangl G.S., Prins B.H., Boursiquot J.-M., Walker M.A., Meredith C.P., Simon C.J.","6602935044;6506247799;6701413609;6603496157;35552704700;7006518906;7401975324;","Genetic structure and differentiation in cultivated grape, Vitis vinifera L",2003,"Genetical Research","81","3",,"179","192",,201,"10.1017/S0016672303006177",2-s2.0-0037770194
"Arnold C., Gillet F., Gobat J.M.","55439650100;7003675412;6604020625;","Occurrence of the wild vine Vitis vinifera ssp. silvestris in Europe [Situation de la vigne sauvage Vitis vinifera ssp. silvestris en Europe]",1998,"Vitis","37","4",,"159","170",,96,,2-s2.0-0032409665
"Arnold C., Schnitzler A., Douard A., Peter R., Gillet F.","7203014004;7004329212;8615534600;8615534700;7003675412;","Is there a future for wild grapevine (Vitis vinifera subsp. silvestris) in the Rhine Valley?",2005,"Biodiversity and Conservation","14","6",,"1507","1523",,39,"10.1007/s10531-004-9789-9",2-s2.0-21144447491
"Arroyo-García R., Ruiz-García L., Bolling L., Ocete R., López M.A., Arnold C., Ergul A., Söylemezoǧlu G., Uzun H.I., Cabello F., Ibáñez J., Aradhya M.K., Atanassov A., Atanassov I., Balint S., Cenis J.L., Costantini L., Gorislavets S., Grando M.S., Klein B.Y., McGovern P.E., Merdinoglu D., Pejic I., Pelsy F., Primikirios N., Risovannaya V., Roubelakis-Angelakis K.A., Snoussi H., Sotiri P., Tamhankar S., This P., Troshin L., Malpica J.M., Lefort F., Martinez-Zapater J.M.","6602852511;6602238598;56690241400;6603495756;26642624900;55439650100;10439136800;55972027500;34573824100;7006618717;7101992361;6602935044;26643006400;6701590616;40161046700;6602118815;7003850127;24398748700;6602729498;35885624500;7101833355;6602930303;6505919025;6507131802;6507939763;40162133700;7004904739;8595608900;9633216300;7005608629;7003805079;6505859107;6603704411;7004282104;7006185591;","Multiple origins of cultivated grapevine (Vitis vinifera L. ssp. sativa) based on chloroplast DNA polymorphisms",2006,"Molecular Ecology","15","12",,"3707","3714",,265,"10.1111/j.1365-294X.2006.03049.x",2-s2.0-33749821311
"Bavaresco L., Gardiman M.","","La diversification des cépages au cours de l'Histoire",2012,"Culture et Traditions du Vin, Rencontres du Clos-Vougeot 2011: Vignes, vins: jeux et enjeux de la diversité",,,,"167","177",,1,,2-s2.0-85054760732
"Billiard R.","",[No title available],1913,"La vigne dans l'Antiquité",,,,"","",,30,,2-s2.0-4143107218
"Boissinot P.","","Archéologie des vignobles antiques du sud de la Gaule",2001,"Gallia","58",,,"45","68",,14,,2-s2.0-70449529259
"Bouby L., Marinval P.","","La vigne et les débuts de la viticulture en France:apports de l'archéobotanique",2001,"Gallia","58",,,"13","28",,16,,2-s2.0-33644698825
"Bouby L., Terral J.F., Figueiral I., Ivorra S., Lacombe T., Pastor T., Picq S., Buffat L., Fabre L., Jung C., Marinval P., Petitot H., Tardy C., Delhon C., Théry-Parisot I., Thiébault S.","","La vigne sauvage (Vitis vinifera subsp. sylvestris) : une plante cultivée dans les établissements viticoles de Narbonnaise ?",2010,"Des Hommes et des plantes. Exploitation du milieu et gestion des ressources végétales de la Préhistoire à nos jours. XXXe rencontres internationales l’archéologie et d’histoire d’Antibes",,,,"129","139",,4,,2-s2.0-85028165706
"Bouby L., Figueiral I., Bouchette A., Rovira N., Ivorra S., Lacombe T., Pastor T., Picq S., Marinval P., Terral J.-F.","6602374494;6603067806;6505820481;56585834500;14828273200;23485802300;36128801200;36091924200;7801592623;6603580109;","Bioarchaeological Insights into the Process of Domestication of Grapevine (Vitis vinifera L.) during Roman Times in Southern France",2013,"PLoS ONE","8","5", e63195,"","",,39,"10.1371/journal.pone.0063195",2-s2.0-84877726949
"Bouby L., Marinval P., Terral J.F.","","From secondary to speculative production? The protohistorical history of viticulture in Southern France",2014,"Plants and people: choices and diversity through time",,,,"175","181",,4,,2-s2.0-85016325462
"Brun J.-P.","",[No title available],2004,"Archéologie du Vin et de l'Huile dans l'Empire Romain",,,,"","",,82,,2-s2.0-66649104970
"Brun J.-P.","","Le vin et l'huile dans la Méditerranée antique",2003,"Le Vin Et L’Huile Dans La Méditerranée Antique. Viticulture, Oléiculture Et Procédés De Fabrication",,,,"","",,71,,2-s2.0-33749427951
"Buxó I Capdevila R.","6507933767;","Evidence for vines and ancient cultivation from an urban area, Lattes (Hérault), southern France",1996,"Antiquity","70","268",,"393","407",,14,,2-s2.0-0040969530
"Carlquist S.","",[No title available],1988,"Comparative Wood Anatomy",,,,"","",,973,,2-s2.0-0003990445
"Chabal L., Fabre L., Terral J.-F., Théry-Parisot I.","","L'anthracologie",1999,"La Botanique",,,,"43","104",,145,,2-s2.0-0041398678
"Chabal L., Terral J.F.","","Perspectives d’éco-anatomie quantitative comparée du bois de vigne sauvage (Vitis vinifera ssp. sylvestris) et de vigne cultivée Vitis vinifera ssp. vinifera)",2007,"Lattara","20",,,"211","217",,1,,2-s2.0-85054758504
"Chabal L.","","Le bois dans l'architecture et le mobilier (500/475 BC); les boisements aux origines de Lattara",2014,"Lattara","22",,,"115","",,2,,2-s2.0-84975663541
"Chrzazvez J., Théry-Parisot I., Fiorucci G., Terral J.-F., Thibaut B.","56030431000;13205747200;23004477400;6603580109;6701463632;","Impact of post-depositional processes on charcoal fragmentation and archaeobotanical implications: Experimental approach combining charcoal analysis and biomechanics",2014,"Journal of Archaeological Science","44","1",,"30","42",,47,"10.1016/j.jas.2014.01.006",2-s2.0-84893693148
[No author name available],[No author id available],[No title available],0000,,,,,"","",,1,,2-s2.0-85054765950
"Durand A., Terral J.F.","","Regarder autrement le charbon de bois archéologique: l'exemple de l'irrigation des plantations d'oliviers en France méridionale et en Catalogne (IXe-XVe siècle)",2005,"Archéologie du Midi Médiéval","23-24",,,"75","92",,4,,2-s2.0-84943758517
"Ekhvaia J., Blattner F.R., Gurushidze M., Akhalkatsi M.","","Study of genetic diversity and relationships between wild grapevine (Vitis vinifera subsp. sylvestris) populations and aboriginal cultivars in Georgia",2011,"Biosystematics Conference, 21-27 February 2011, Berlin",,,,"","",,1,,2-s2.0-85054708138
"Figueiral I., Bouby L., Buffat L., Petitot H., Terral J.-F.","6603067806;6602374494;35188692200;35189265000;6603580109;","Archaeobotany, vine growing and wine producing in Roman Southern France: the site of Gasquinoy (Béziers, Hérault)",2010,"Journal of Archaeological Science","37","1",,"139","149",,26,"10.1016/j.jas.2009.09.024",2-s2.0-70449527673
"Figueiral I., Fabre L., Bel V.","6603067806;7007048195;36597953300;","Considerations on the nature and origin of wood-fuel from gallo-roman cremations, in the Languedoc region (Southern France)",2010,"Quaternaire","21","3",,"325","331",,7,,2-s2.0-77957653693
"Figueiral I., Séjalon P.","6603067806;36864485200;","Archaeological wells in southern France: Late Neolithic to Roman plant remains from Mas de Vignoles IX (Gard) and their implications for the study of settlement, economy and environment",2014,"Environmental Archaeology","19","1",,"23","38",,3,"10.1179/1749631413Y.0000000009",2-s2.0-84894416004
"Figueiral I., Ivorra S., Breuil J.-Y., Bel V., Houix B.","6603067806;14828273200;36863318200;36597953300;57188720618;","Gallo-Roman Nîmes (southern France): A case study on firewood supplies for urban and proto-urban centers (1st B.C. – 3rd A.D.)",2017,"Quaternary International","458",,,"103","112",,3,"10.1016/j.quaint.2016.11.018",2-s2.0-85014080218
"Galet P.","",[No title available],2000,"Dictionnaire Encyclopédique des Cépages",,,,"","",,96,,2-s2.0-0346364054
"Imazio S., Labra M., Grassi F., Scienza A., Failla O.","6603011122;56539602200;7006649338;6701696930;6602479898;","Chloroplast microsatellites to investigate the origin of grapevine",2006,"Genetic Resources and Crop Evolution","53","5",,"1003","1011",,54,"10.1007/s10722-004-6896-0",2-s2.0-33745101071
"Jacquat C., Martinoli D.","6506009753;6506515334;","Vitis vinifera L.: Wild or cultivated? Study of the grape pips found at Petra, Jordan; 150 B.C. - A.D. 40",1999,"Vegetation History and Archaeobotany","8","1-2",,"25","30",,37,"10.1007/BF02042839",2-s2.0-0033242879
"Jung C.","","Le vignoble du deuxième âge du Fer et les aménagements agraires républicains",2007,"Lattara","20",,,"439","459",,2,,2-s2.0-85054735832
"Lacombe T., Boursiquot J.-M., Laucou V., Di Vecchi-Staraz M., Péros J.-P., This P.","23485802300;6603496157;7801670003;25930374200;6601974774;55780314900;","Large-scale parentage analysis in an extended set of grapevine cultivars (Vitis vinifera L.)",2013,"Theoretical and Applied Genetics","126","2",,"401","414",,110,"10.1007/s00122-012-1988-2",2-s2.0-84873096913
"Levadoux L.","","Les populations sauvages et cultivées de Vitis vinifera L",1956,"Ann Amelior Plantes","6",,,"59","118",,140,,2-s2.0-0002600952
"Mangafa M., Kotsakis K.","6505794706;6506367217;","A new method for the identification of wild and cultivated charred grape seeds",1996,"Journal of Archaeological Science","23","3",,"409","418",,61,"10.1006/jasc.1996.0036",2-s2.0-0009298447
"Marguerie D., Bernard V., Begin Y., Terral J.-F.","","Dendroanthracologie (chapitre 12)",2010,"Dendroecologie : Principes, Methodes et Applications/Dendroecology: Principles, Methods and Applications",,,,"311","347",,11,,2-s2.0-84995580044
"Marinval P.","","Vigne sauvage et vigne cultivée dans le bassin méditerranéen. Emergence de la viticulture. Contribution archéo-botanique",1997,"L'histoire du vin, une Histoire de Rites",,,,"137","172",,15,,2-s2.0-0347908993
"Mauné S.","","La villa gallo-romaine de Vareilles à Paulhan (Hérault, fouille A75): Un centre domanial du Haut-Empire spécialisé dans la viticulture",2003,"Cultivateurs, Éleveurs et Artisans dans les Campagnes gallo-romaines. Matières premières et produits transformés, Actes du VI' Colloque International d'AGER, Compiègne","1","2",,"309","337",,7,,2-s2.0-84894179847
"McGovern P.E., Luley B.P., Rovira N., Mirzoian A., Callahan M.P., Smith K.E., Hall G.R., Davidson T., Henkin J.M.","7101833355;25628112900;56585834500;55463787400;57213748248;55574237189;7402065298;55772344100;56044601500;","Beginning of viniculture in France",2013,"Proceedings of the National Academy of Sciences of the United States of America","110","25",,"10147","10152",,32,"10.1073/pnas.1216126110",2-s2.0-84879310288
"Monteil M., Barberan S., Piskorz M., Vidal L., Bel V., Sauvage L.","","Culture de la vigne et plantation des IIe-Ier s. av. J.-C. dans la proche campagne de Nîmes (Gard)",1999,"Revue archéol. Narbonnaise","32",,,"67","123",,5,,2-s2.0-25044481360
"Nicault A., Bégin Y., Guiot J.","","La standardisation des séries dendrochronologiques",2010,"La dendroécologie: Principes, méthodes et applications.",,,,"199","228",,3,,2-s2.0-84924041990
"Olmo H.P.","","The origin and domestication of the Vinifera grape",1995,"The Origin and Ancient History of Wine",,,,"31","43",,49,,2-s2.0-0038462878
[No author name available],[No author id available],[No title available],0000,,,,,"","",,1,,2-s2.0-85054707272
"Paradis-Grenouillet S., Dufraisse A.","55914919200;23485110700;","Deciduous oak/chestnut: Differential shrinkage of wood during charcoalification? Preliminary experimental results and implications for wood diameter study in anthracology",2018,"Quaternary International","463",,,"258","267",,5,"10.1016/j.quaint.2017.06.074",2-s2.0-85023160497
"Picq S., Santoni S., Lacombe T., Latreille M., Weber A., Ardisson M., Ivorra S., Maghradze D., Arroyo-Garcia R., Chatelet P., This P., Terral J.-F., Bacilieri R.","36091924200;55856090100;23485802300;37091076700;55368397300;54933696500;14828273200;15020825000;6602852511;16232683500;55780314900;6603580109;6603491440;","A small XY chromosomal region explains sex determination in wild dioecious V. vinifera and the reversal to hermaphroditism in domesticated grapevines",2014,"BMC Plant Biology","14","1", 229,"","",,41,"10.1186/s12870-014-0229-z",2-s2.0-84908126476
[No author name available],[No author id available],[No title available],0000,,,,,"","",,1,,2-s2.0-85054751546
"Py M., Buxó R., Brun J.P., Laubenheimer F.","","La viticulture en Gaule à l'âge du Fer",2001,"Gallia","58",,,"29","43",,12,,2-s2.0-33644685514
"Roudil J.L., Dedet B.","","La grotte du Hasard à Tharaux",1993,"Doc. d'Archéol. Méridionale","16",,,"111","162",,1,,2-s2.0-85054751061
"Stummer A.","","Zur Urgeschichte der Rebe und des Weinbaues",1911,"Mitteilungen der Anthropologischen Gesellschaft in Wien","41",,,"283","296",,52,,2-s2.0-0000590607
"Terral J.-F., Arnold-Simard G.","6603580109;6508060968;","Beginnings of olive cultivation in Eastern Spain in relation to Holocene bioclimatic changes",1996,"Quaternary Research","46","2",,"176","185",,86,"10.1006/qres.1996.0057",2-s2.0-0030437163
"Terral J.-F.","6603580109;","Beginnings of olive domestication (Olea europaea) in North-western Mediterranean areas shown by morphometric analyses applied on archaeological charcoal [Debuts de la domestication de l'olivier (Olea europaea L.) en Mediterranee nord-occidentale, mise en evidence par l'analyse morphometrique appliquee a du materiel anthracologique]",1997,"Comptes Rendus - Academie des Sciences, Serie II: Sciences de la Terre et des Planetes","324","5",,"417","425",,14,,2-s2.0-0031474690
"Terral J.-F.","","La morphométrie à la recherche des origines de la culture et de la domestication des arbres fruitiers: le modèle de l'olivier en Méditerranée nord-occidentale",1999,"Revue d'Archéométrie","23",,,"101","126",,3,,2-s2.0-34447124521
"Terral J.-F., Mengüal X.","6603580109;55755782100;","Reconstruction of Holocene climate in southern France and eastern Spain using quantitative anatomy of olive wood and archaeological charcoal",1999,"Palaeogeography, Palaeoclimatology, Palaeoecology","153","1-4",,"71","92",,46,"10.1016/S0031-0182(99)00079-6",2-s2.0-0344980332
"Terral J.-F.","6603580109;","Exploitation and management of the olive tree during prehistoric times in Mediterranean France and Spain",2000,"Journal of Archaeological Science","27","2",,"127","133",,44,"10.1006/jasc.1999.0444",2-s2.0-0034074615
"Terral J.-F.","","Quantitative anatomical criteria for discriminating wild grapevine (Vitis vinifera ssp. sylvestris) from cultivated vines (Vitis vinifera ssp. vinifera)",2002,"BAR International Series, 1063","1063",,,"59","64",,9,,2-s2.0-33747243134
"Terral J.-F., Badal E., Heinz C., Roiron P., Thiebault S., Figueiral I.","6603580109;6506999430;7005378201;6603177487;57193317025;6603067806;","A hydraulic conductivity model points to post-neocene survival of the Mediterranean olive",2004,"Ecology","85","11",,"3158","3165",,22,"10.1890/03-3081",2-s2.0-9344257870
"Terral J.-F., Durand A.","6603580109;12752423600;","Bio-archaeological evidence of olive tree (Olea europaea L.) irrigation during the Middle Ages in Southern France and North Eastern Spain",2006,"Journal of Archaeological Science","33","5",,"718","724",,20,"10.1016/j.jas.2005.10.004",2-s2.0-33644541477
"Terral J.F., Tabard E., Bouby L., Ivorra S., Pastor T., Figueiral I., Picq S., Chevance J.B., Jung C., Fabre L., Tardy C., Compan M., Bacilieri R., Lacombe T., This P.","6603580109;36092051300;6602374494;14828273200;36128801200;6603067806;36091924200;36090768000;36128501700;7007048195;56662953100;36090825000;6603491440;23485802300;55780314900;","Evolution and history of grapevine (Vitis vinifera) under domestication: new morphometric perspectives to understand seed domestication syndrome and reveal origins of ancient European cultivars.",2010,"Annals of botany","105","3",,"443","455",,128,"10.1093/aob/mcp298",2-s2.0-77952960951
"Terral J.-F., Bouby L.","","Domestication de la vigne (Vitis vinifera L.) et origines de cépages en France: apport de l’archéobiologie",2013,"Food & History","11","2",,"11","25",,2,,2-s2.0-85046565098
[No author name available],[No author id available],[No title available],0000,,,,,"","",,1,,2-s2.0-85054767796
"This P., Lacombe T., Thomas M.R.","55780314900;23485802300;7404754118;","Historical origins and genetic diversity of wine grapes",2006,"Trends in Genetics","22","9",,"511","519",,417,"10.1016/j.tig.2006.07.008",2-s2.0-33747209106
"Zimmermann M.H.","",[No title available],1983,"Xylem Structure and the Ascent of Sap",,,,"","",,1717,,2-s2.0-0003758814
"Zobel B.J., Van Buijtenen J.P.","","Wood variation: Its causes and control",1989,"Wood Variation: Its Causes and Control",,,,"363","",,1065,,2-s2.0-0003732891
"Zohary D.","","The domestication of the grapevine Vitis vinifera L. in the Near East",1995,"The Origins and Ancient History of Wine",,,,"23","30",,53,,2-s2.0-0009304232
